Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
265,66.0,Dangerous,Dang.2,3,0,1,0,0,0,1
266,66.0,Normal,Normal1,339,3,0,0,0,0,3
267,66.0,Slow,Slow1,169,0,0,0,0,0,0
268,66.0,Normal,normal.0,240,3,0,0,0,0,3
269,66.0,Normal,normal.1,95,1,0,0,0,0,1
270,66.0,Normal,normal.2,10,0,0,0,0,0,0
271,66.0,Slow,s.0,98,0,0,0,0,0,0
272,66.0,Slow,s.1,32,0,0,0,0,0,0
273,67.0,Dangerous,Dang.0,218,6,5,0,1,0,12
274,67.0,Dangerous,Dang.1,87,0,2,0,1,0,3
275,67.0,Dangerous,Dang.2,5,0,2,0,1,0,3
276,67.0,Normal,Normal1,348,3,0,0,0,0,3
277,67.0,Slow,Slow1,177,0,0,0,0,0,0
278,67.0,Normal,normal.0,253,3,0,0,0,0,3
279,67.0,Normal,normal.1,105,1,0,0,0,0,1
280,67.0,Normal,normal.2,13,0,0,0,0,0,0
281,67.0,Slow,s.0,105,0,0,0,0,0,0
282,67.0,Slow,s.1,38,0,0,0,0,0,0
283,68.0,Dangerous,Dang.0,235,7,6,0,1,0,14
284,68.0,Dangerous,Dang.1,95,0,2,0,1,0,3
285,68.0,Dangerous,Dang.2,7,0,3,0,2,0,5
286,68.0,Normal,Normal1,358,3,0,0,0,0,3
287,68.0,Slow,Slow1,185,0,0,0,0,0,0
288,68.0,Normal,normal.0,266,3,0,0,0,0,3
289,68.0,Normal,normal.1,114,1,0,0,0,0,1
290,68.0,Normal,normal.2,14,0,0,0,0,0,0
291,68.0,Slow,s.0,111,0,0,0,0,0,0
292,68.0,Slow,s.1,45,0,0,0,0,0,0
293,68.0,Slow,s.2,0,0,0,0,0,0,0
294,69.0,Dangerous,Dang.0,250,8,7,0,1,0,16
295,69.0,Dangerous,Dang.1,106,0,2,0,1,0,3
296,69.0,Dangerous,Dang.2,9,0,4,0,3,0,7
297,69.0,Normal,Normal1,367,3,0,0,0,0,3
298,69.0,Slow,Slow1,193,0,0,0,0,0,0
299,69.0,Normal,normal.0,279,3,0,0,0,0,3
300,69.0,Normal,normal.1,124,2,0,0,0,0,2
301,69.0,Normal,normal.2,15,0,0,0,0,0,0
302,69.0,Slow,s.0,118,0,0,0,0,0,0
303,69.0,Slow,s.1,52,0,0,0,0,0,0
304,69.0,Slow,s.2,0,0,0,0,0,0,0
305,70.0,Dangerous,Dang.0,264,9,8,0,1,0,18
306,70.0,Dangerous,Dang.1,113,0,2,0,1,0,3
307,70.0,Dangerous,Dang.2,10,0,5,0,4,0,9
308,70.0,Normal,Normal1,377,3,0,0,0,0,3
309,70.0,Slow,Slow1,201,0,0,0,0,0,0
310,70.0,Normal,normal.0,292,3,0,0,0,0,3
311,70.0,Normal,normal.1,133,2,0,0,0,0,2
312,70.0,Normal,normal.2,16,0,0,0,0,0,0
313,70.0,Slow,s.0,124,0,0,0,0,0,0
314,70.0,Slow,s.1,58,0,0,0,0,0,0
315,70.0,Slow,s.2,0,0,0,0,0,0,0
316,71.0,Dangerous,Dang.0,278,9,9,0,1,0,19
317,71.0,Dangerous,Dang.1,122,1,2,0,1,0,4
318,71.0,Dangerous,Dang.2,10,0,5,0,5,0,10
319,71.0,Normal,Normal1,387,4,0,0,0,0,4
320,71.0,Slow,Slow1,209,0,0,0,0,0,0
321,71.0,Normal,normal.0,304,3,0,0,0,0,3
322,71.0,Normal,normal.1,144,2,0,0,0,0,2
323,71.0,Normal,normal.2,16,0,0,0,0,0,0
324,71.0,Slow,s.0,131,0,0,0,0,0,0
325,71.0,Slow,s.1,64,0,0,0,0,0,0
